headline,true_label,predicted_label,confidence,true_label_prob,original_headline
destroyer deploy near north korea,negative,neutral,0.8953,0.0695,us destroyer deployed near north korea
resident reassure native title claim,positive,neutral,0.5034,0.4876,residents reassured over native title claim
plane crash tree car park,neutral,negative,0.7968,0.1719,plane crashes into tree in car park
gloomy quarterly result illawarra economy,negative,neutral,0.9212,0.025,gloomy quarterly result for illawarra economy
wa hard border victoria extend wednesday,negative,positive,0.5382,0.2938,wa hard border with victoria extended until wednesday
hyperactive immune system baby link food allergy,positive,neutral,0.848,0.0275,hyperactive immune systems in babies linked to food allergies
deal load sheep govt,negative,neutral,0.8391,0.1126,no deal done to off load sheep govt
karrie webb join golfs time great,neutral,positive,0.9889,0.0109,karrie webb joins golfs all time greats
hunter miner remember international day mourning,negative,neutral,0.5109,0.4509,hunter miners remembered on international day of mourning
symond certain south africa,negative,positive,0.4929,0.1545,symonds not yet certain for south africa
sibling sexually abuse foster care evidence inquiry,neutral,negative,0.8264,0.0004,siblings sexually abused in foster care to give evidence inquiry
mugg let god,positive,neutral,0.5232,0.1331,mugg let them have god
journalist force icac reveal source story,negative,neutral,0.7467,0.1768,journalist forced by icac to reveal source of story
police scene man die follow,negative,neutral,0.7891,0.2057,police at the scene where a man died following a
rudd raise nobel winners case china,positive,neutral,0.8045,0.0457,rudd to raise nobel winners case with china
end pervert race base welfare,negative,neutral,0.8462,0.0755,call for end to perverted race based welfare
green leader cynical tas wood centre,negative,neutral,0.9046,0.0471,former greens leader cynical about tas wood centre
reserve bank say house price crash improve affordabil,negative,positive,0.7739,0.1688,reserve bank says house price crash will not improve affordabil
nightmare fight disability support ndi,neutral,positive,0.5199,0.0006,nightmare fight for disability support ndis
judge rule accuse fit,positive,negative,0.5919,0.408,judge to rule if accused fit
fisherman treat hypothermia,neutral,positive,0.6089,0.3379,fishermen treated for hypothermia
australian share market close low,neutral,positive,0.7222,0.1138,australian share market closes lower
import damien johnson join pioneer,positive,neutral,0.8671,0.0963,us import damien johnson to join pioneers
regional rail link cost question,negative,neutral,0.8237,0.1354,regional rail link cost questioned
chelsea coach ranieri tolerate interference,negative,neutral,0.9324,0.0384,chelsea coach ranieri will tolerate no interference
trump drop spot forbe billionaire list,neutral,negative,0.806,0.0711,trump drops 220 spots on forbes billionaires list
baptist pastor deport harass mosque worshipper,negative,neutral,0.8498,0.126,baptist pastor to be deported for harassing mosque worshippers
ashleigh barty beat naomi osaka australian open,negative,neutral,0.8859,0.0691,ashleigh barty beaten by naomi osaka australian open
china say india violate territory agreement,negative,positive,0.9863,0.0013,china says india violating 1890 territory agreement
nsw wage growth low national average,positive,negative,0.6419,0.3575,nsw wage growth lower than national average
road remain closed tanker spill clean,positive,neutral,0.514,0.4631,roads remain closed as tanker spill clean up
flood danger ease lake entrance,negative,positive,0.6548,0.345,flood danger eases at lakes entrance
aged care worker plead guilty sex attack,negative,positive,0.5111,0.4888,aged care worker pleads guilty to sex attack
country woman association perth bell cwa stitch bitch,negative,neutral,0.9442,0.0149,country women association perth belles cwa stitch and bitch
separate politician legal process emerson,positive,negative,0.5847,0.3637,separate politicians from legal process emerson
calder acquit indecent act claim,positive,neutral,0.5883,0.26,calder acquitted over indecent act claims
superannuation retiree increasingly force use retire,negative,neutral,0.8906,0.0874,superannuation retirees increasingly forced to use their retire
public tell fear gas bus,positive,negative,0.9852,0.0022,public told not to fear gas buses
nigerias kaita remorseful red card,negative,neutral,0.9115,0.0402,nigerias kaita remorseful for red card
landmark transgender case head court malaysia,positive,neutral,0.6303,0.309,landmark transgender case heads to court in malaysia
indigenous custodian fight save sacred site,positive,negative,0.8864,0.1069,indigenous custodians fight to save sacred sites
private involvement rail question,negative,neutral,0.8225,0.1507,private involvement in rail questioned
low import worry coal analyst,neutral,negative,0.9985,0.0003,lower imports not worrying coal analyst
storm stay focus ahead gf,positive,neutral,0.7829,0.2056,storm staying focused ahead of gf
tribute flow motorway crash couple,negative,neutral,0.8727,0.1186,tributes flow for motorway crash couple
swan big cut ensure budget,positive,negative,0.6517,0.3478,swan made big cuts to ensure budget
mulherin likens fifo betrayal postcode apartheid,negative,neutral,0.8368,0.033,mulherin likens fifo betrayal to postcode apartheid
passenger recount drunk skipper woollard,negative,neutral,0.5248,0.4732,passenger recounts drunk skipper woollard
camera shy man bash sydney cbd,negative,neutral,0.6057,0.3867,camera shy man bashed in sydney cbd
amirah droudis plead guilty murder noleen pal,positive,negative,0.871,0.1289,amirah droudis pleads not guilty to murder of noleen pal
olivia garnett talk choclate stout,positive,neutral,0.75,0.1082,olivia garnett talks choclate stout
muslim faithful flock holy mount hajj,positive,neutral,0.9573,0.0082,muslim faithful flock to holy mount for hajj
49er juggle jarryd hayne talent mistake,positive,negative,0.6121,0.3718,49ers juggle jarryd haynes talent mistakes
unique team demand unique expectation penalty,neutral,negative,0.5344,0.458,unique team demands unique expectations and penalties
korp pay psychic protection court hear,neutral,negative,0.6176,0.3451,korp paid psychic for protection court hears
lennox fire thursday,neutral,negative,0.9777,0.0209,lennox fires thursday
mother son unscathed car crash,neutral,negative,0.8811,0.1148,mother and son unscathed after car crashes into
gary peters pay saadi gaddafi,neutral,negative,0.5723,0.347,gary peters still being paid by saadi gaddafi
nsw rfs worried bushfire hit power station coal,negative,neutral,0.5551,0.2904,nsw rfs worried bushfire could hit power station and coal mine
cbh group david capper grain receival site questionable future,negative,neutral,0.9385,0.0405,cbh group david capper grain receival sites questionable future
finland plan dad equal parental leave mother,negative,neutral,0.6682,0.312,finland plans to give dads equal parental leave as mothers
federer lurk nadal chase french title,negative,neutral,0.8951,0.0391,federer lurks as nadal chases fifth french title
genetic map give devil research boost,negative,positive,0.6992,0.2978,genetic map gives devil research a boost
gud post 261pc profit surge sunbeam struggle,neutral,positive,0.6244,0.0001,gud posts 261pc profit surge sunbeam still struggling
hughes put australia early,positive,neutral,0.9385,0.0257,hughes puts australia on top early
tiger wood dominate president cup day,positive,negative,0.6615,0.15,tiger woods dominates presidents cup day three
cat not kill new york city rat urban ecology,positive,negative,0.9395,0.0054,cats dont kill new york city rats urban ecology
profit group name new operator cassowary hospital,negative,positive,0.7549,0.0031,not for profit group named new operator of cassowary hospital
cat sweat injury suspension,neutral,negative,0.5942,0.3628,cats sweat on injuries suspension
public pay council subdivision stuff,neutral,negative,0.6473,0.3059,public pays for council subdivision stuff up
whincup gear tough bathurst,positive,negative,0.5526,0.2602,whincup gearing up for tougher bathurst
hospital return normal work ban lift,neutral,negative,0.8594,0.1355,hospitals return to normal after work bans lifted
federer focus gold slam,positive,neutral,0.7932,0.0526,federer focused on gold not slams
haiti aid chopper crash,neutral,negative,0.9194,0.0779,haiti aid chopper crashes
alice spring boy jail not parliment child imprisonment,negative,neutral,0.5627,0.4263,alice springs boy almost jailed nt parliment child imprisonment
mount raung ash passenger strand bali flight ban extend,neutral,negative,0.9022,0.0309,mount raung ash passengers stranded bali flight bans extended
trial humiliate kamitsis govt agenda court tell,negative,neutral,0.9453,0.0263,trial to humiliate kamitsis a govt agenda court told
exercise website canberran launch,positive,neutral,0.6336,0.3531,exercise website for canberrans launched
tebbutt promise fight rail tunnel plan,neutral,negative,0.5897,0.0001,tebbutt promises to fight rail tunnel plan
lack stock information cause concern wool,negative,neutral,0.5026,0.4794,lack of stock information causes concern for wool
mp say govt responsible police counter,negative,positive,0.484,0.1397,mp says govt not responsible for police counter
zebrafish study lead surprising stem cell discovery,positive,neutral,0.8921,0.0644,zebrafish study leads to surprising stem cell discovery
french driver force carry breathalyser,negative,neutral,0.562,0.4242,french drivers forced to carry breathalysers
ningaloo tourism impresses minister,positive,neutral,0.9009,0.0239,ningaloo tourism impresses minister
rid crop slap playful sexual harassment csiro,positive,negative,0.894,0.0388,riding crop slap playful not sexual harassment csiro
committee tout mining return spin off,neutral,negative,0.5415,0.2926,committee touts mining return spin offs
migrant die hypothermia italian coast guard boat,negative,neutral,0.785,0.1786,migrants die of hypothermia on italian coast guard boats
lee scott virtue kimberley toad buster,positive,neutral,0.9015,0.025,lee scott virtue kimberley toad busters
blue thrash woeful waratah,negative,neutral,0.9637,0.0169,blues thrash woeful waratahs
science week psychology honesty,positive,neutral,0.8899,0.0455,science week the psychology of honesty
job smh age downsize,negative,neutral,0.778,0.0704,35 jobs to go with smh age downsizing
fatah hold congress despite hamas ban,positive,negative,0.8515,0.0594,fatah to hold congress despite hamas ban
kimmel keep strike staff payroll,neutral,negative,0.9172,0.0382,kimmel keeps striking staff on payroll
green lose support labor poll,neutral,positive,0.6322,0.0,greens lose support to labor poll
blame game uni fee increase,neutral,negative,0.6478,0.0085,blame game on uni fee increase
cameron say scotland independence painful divorce,negative,neutral,0.5463,0.3477,cameron says scotland independence will be a painful divorce
reverse car crash neighbour house,neutral,negative,0.6393,0.3427,reversing car crashes into neighbour's house
greenhouse gas emission increase consecutive year,positive,neutral,0.5218,0.4522,greenhouse gas emissions increase third consecutive year
team america triumphs court,positive,neutral,0.9312,0.0271,team america triumphs on court
bomb raid target fallujah baqubah,neutral,negative,0.5196,0.4702,us bombing raids target fallujah baqubah
ree pledge swift action stimulus fund,positive,neutral,0.4667,0.3114,rees pledges swift action on stimulus funded
reform cut payroll tax ripper,positive,negative,0.953,0.0207,reforms will not cut payroll tax ripper
bendigo regional victoria overdose death overtake capital city,neutral,negative,0.6107,0.3869,bendigo regional victoria overdose deaths overtake capital city
ban traveller brazil amid coronavirus,neutral,negative,0.9501,0.0472,us bans travellers from brazil amid coronavirus
grief mute world new year celebration,negative,neutral,0.4973,0.3874,grief mutes worlds new year celebrations
pilot hero emergency ocean landing,positive,negative,0.7305,0.2675,pilot a hero for emergency ocean landing
australian know haiti,negative,neutral,0.9088,0.0511,no australians known to be in haiti
china property tax delay boost local market,neutral,positive,0.9399,0.0054,china property tax delay boosts local market
sikh community give need,positive,neutral,0.7504,0.1937,sikh community giving back to those in need during
power inquiry begin despite legal debate,negative,positive,0.9315,0.0276,power inquiry to begin despite legal debate
app designer build digital tool end endometriosis agony,negative,neutral,0.8655,0.0264,app designer builds digital tool to end endometriosis agony
farmer benefit tourist drought continue,neutral,positive,0.9398,0.0587,farmers benefiting from tourists as drought continues
dylan alcott finish tennis world number,positive,neutral,0.7097,0.1914,dylan alcott finishes 2020 as the tennis world number one
help family danger misinformation covid,negative,positive,0.5837,0.4163,helping family see danger of misinformation covid 19
cfa pray rain fill near dam,positive,neutral,0.6511,0.3202,cfa prays for rain to fill near empty dams
shorten rally labor faithful,positive,neutral,0.9076,0.0467,shorten rallies labor faithful
astronomer explain strange object see night sky,negative,neutral,0.6302,0.3139,astronomer explains strange object seen in night sky
guardian welcome rule right starve case,negative,positive,0.7281,0.2716,guardian welcomes ruling in right to starve case
immigration delay hamper goat meat abattoir,negative,neutral,0.6767,0.2946,immigration delay hampers goat meat abattoir
mystery illness playboy mansion party,neutral,positive,0.5569,0.0004,mystery illness after playboy mansion party
daylight save power saving,negative,neutral,0.6732,0.0192,daylight saving but no power saving
seed food patent farmer reach,neutral,positive,0.8045,0.161,seed and food patents out of farmers reach
surprise australia tap phone,neutral,positive,0.9011,0.0586,no surprise that australia tapped phones former
clunie ross awardee lifetime achievement,positive,neutral,0.9646,0.0166,clunies ross awardee for lifetime achievement in
fiji qarase face question corruption,negative,neutral,0.9409,0.0438,fijis qarase faces questioning over corruption
allsopp double delights victory,positive,neutral,0.938,0.0277,allsopp double delights victory
indigenous cultural intellectual property copyright,positive,neutral,0.7708,0.0309,what is indigenous cultural intellectual property and copyright
rural sa emerald iron road join new port,positive,neutral,0.7048,0.2539,rural sa emerald and iron road join for new port
council plan chemical spill emergency,neutral,negative,0.675,0.3217,council plans for chemical spill emergencies
medium retail stock crash share market fall sharply,negative,positive,0.7026,0.183,media; retail stocks crash as share market falls sharply
knight bronco die clash,negative,neutral,0.8552,0.1145,knights take on broncos in do or die clash
major injury cyclist continue rise victoria,neutral,negative,0.6794,0.3173,major injuries to cyclists continue to rise in victoria
lawyer challenge teacher jail sex,positive,negative,0.5723,0.4274,lawyers challenge teachers jailing for sex with
ex police officer fin database mischief,negative,neutral,0.7183,0.2598,ex police officer fined over database mischief
cadbury takeover bitter sweet,positive,negative,0.6219,0.3775,cadbury takeover bitter sweet
donald trump block twitter user violate free speech,negative,positive,0.5029,0.4966,donald trump blocking twitter users violates free speech
cfa defend foreign firefighter high pay,negative,neutral,0.5602,0.3644,cfa defends foreign firefighters high pay
beckham stay charge say sven,neutral,negative,0.5694,0.4173,beckham stays in charge says sven
afl state origin relevant worthwhile endeavour,positive,neutral,0.8771,0.0291,is afl state of origin still a relevant or worthwhile endeavour
beef sustainability framework launch,positive,neutral,0.8822,0.1096,beef sustainability framework launched
brazil say foreign medium distort amazon,negative,positive,0.6703,0.077,brazil says foreign media distort amazon
people onboard light aircraft die,negative,neutral,0.8636,0.1181,four people onboard the light aircraft have died
vettel hand f1 title,positive,neutral,0.6154,0.3624,vettel with one hand on f1 title
insect invertebrate frog affect bushfire,negative,neutral,0.7251,0.2218,insects invertebrates frogs affected by bushfire
anti smoking campaign welcome,neutral,negative,0.5163,0.0,anti smoking campaign welcomed
state pilchard fishery close dolphin death,neutral,negative,0.7752,0.2234,state pilchard fishery closed due to dolphin deaths
geraldton doctor plead guilty murder doctor husband,positive,negative,0.8475,0.15,geraldton doctor pleads not guilty to murdering doctor husband
china blast toll reach,neutral,positive,0.5501,0.2505,china mine blast toll may reach 148
govt review law release mentally ill,negative,neutral,0.7296,0.2558,govt to review law after release of mentally ill
harley hedger hat snow,negative,neutral,0.7637,0.1907,harley hedger hates snow
quit liberal mp say party dire strait,negative,positive,0.6162,0.3744,quitting liberal mp says party in dire straits
sara everingham,neutral,negative,0.4929,0.3737,sara everingham
govt get explain road fund,positive,neutral,0.933,0.0445,govt gets please explain over roads funding
australia reduce number troop train iraqi force,positive,neutral,0.7167,0.1308,australia to reduce number of troops training iraqi forces
avalon closure blow geelong reputation cent,negative,neutral,0.8836,0.0877,avalon closure a serious blow to geelong's reputation as cent
carjack claim false,neutral,negative,0.5522,0.4315,carjacking claim false
classical composer meale die,neutral,negative,0.5239,0.4675,classical composer meale dies
big wet good sorghum harvest,negative,positive,0.8784,0.0101,big wet not so good for sorghum harvest
kidsport program launch,positive,neutral,0.8564,0.1257,kidsport program launched
pic say need speak debus,negative,neutral,0.8301,0.0956,pic says no need to speak with debus
mildura council undecided cafe operator,negative,neutral,0.8028,0.1197,mildura council undecided on cafe operator
bali member renae lawrence call sentence reduction,positive,neutral,0.5523,0.4082,bali nine member renae lawrence calls for sentence reductions
diamond bury english half,neutral,positive,0.6055,0.3399,diamonds bury english in second half
beijing fire soft landing,neutral,negative,0.8809,0.117,beijing fires up for a soft landing
ringleader sinister ice crystal meth trafficking ring jail,negative,neutral,0.539,0.4283,ringleader of sinister ice crystal meth trafficking ring jailed
year old driver die crash toilet,neutral,negative,0.7045,0.29,87 year old driver dies after crashing into toilet
england falter murali equal warn record,neutral,negative,0.8005,0.1903,england falter as murali equals warnes record
man die disappear prospect trip,neutral,positive,0.6507,0.0249,man dies after disappearing on prospecting trip
brazil open chunk amazon forest log,positive,neutral,0.638,0.3141,brazil opens chunks of amazon forest to logging
new covid case fleeting contact infected driver,negative,neutral,0.8153,0.146,new covid case had fleeting contact with infected driver
william jolly bridge monitor damage,neutral,negative,0.9714,0.026,william jolly bridge monitored after damage
michael jacksons legacy question,negative,neutral,0.7761,0.2184,michael jacksons legacy questioned
fire cover alice spring,neutral,negative,0.6812,0.3117,fires cover alice springs
olympic sister act brighten sharapova gloom,negative,neutral,0.9161,0.024,olympic sister act to brighten up sharapova gloom
city girl line meet beaut bloke,positive,neutral,0.924,0.0204,city girls line up to meet beaut blokes
not waste time drug test carr,positive,negative,0.8757,0.0019,dont waste time on drug tests carr
rain ease low move west,positive,negative,0.6121,0.3868,rain to ease as low moves west
skilled migrant demand tip rise,negative,neutral,0.5227,0.4057,skilled migrant demand tipped to rise
guantanamo bay suicide label pr stunt,neutral,negative,0.8268,0.1722,guantanamo bay suicides labelled pr stunt
australia place ash,positive,neutral,0.7413,0.22,australia well placed in ashes
black preseason cup broken hand,neutral,negative,0.9096,0.0507,black out of preseason cup with broken hand
guarantee act homeless,positive,negative,0.5928,0.2191,guarantee for act homeless
wild banana prawn harvest tonnage hard predict,negative,neutral,0.7941,0.1857,wild banana prawn harvest tonnages hard to predict
driver airlift mid north crash scene,negative,neutral,0.595,0.4027,driver airlifted from mid north crash scene
nuclear bomb north korea,neutral,negative,0.7322,0.263,we have enough nuclear bombs north korea
evidence pool cause crypto outbreak,negative,neutral,0.7196,0.2618,no evidence pools caused crypto outbreak
tiger extend eel slump,positive,neutral,0.5019,0.4804,tigers extend eels slump
rental affordability report show regional well option,negative,positive,0.8684,0.0553,rental affordability report shows regional not better option
apache energy extinguishe fire shore gas,negative,positive,0.5414,0.458,apache energy extinguishes fire at off shore gas
dyslexia advocate act school fall commitment,neutral,positive,0.8868,0.0769,dyslexia advocates say act schools falling behind on commitments
aeroplane passenger boarding procedure airport optimisation,positive,neutral,0.7726,0.0504,aeroplane passenger boarding procedure airports optimisation
technical glitch leave public dark,neutral,negative,0.8219,0.1601,technical glitch leaves public in the dark
singh set sight pound prize,positive,neutral,0.5802,0.4162,singh sets sights on million pound prize
haneef trial prejudiced lawyer,negative,neutral,0.9231,0.0359,haneef trial would be prejudiced lawyers
christmas injury avoid festive season,positive,negative,0.8741,0.1257,christmas injuries to avoid this festive season
vic govt ban lane change melbourne tunnel,neutral,negative,0.7014,0.2964,vic govt bans lane changing in melbourne tunnels
train driver highly competent waterfall inquiry,positive,neutral,0.507,0.012,train driver highly competent waterfall inquiry
study find woman need pap smear year,neutral,negative,0.6333,0.3518,study finds women may not need pap smears every two years
nsw man join maverick state,neutral,positive,0.5066,0.4392,nsw man joins maverick state
green demand release report income management,negative,neutral,0.5212,0.4338,greens demand release of report into income management
councillor quit amidst witch hunt claim,negative,neutral,0.9321,0.0464,councillor quits amidst witch hunt claims
sport save utterly dire,negative,positive,0.7201,0.279,sport saved 2016 from being utterly dire
opening new marine tafe campus delay,negative,neutral,0.5478,0.4247,opening of new marine tafe campus delayed
citizens kenneth bae matthew todd miller release,negative,neutral,0.9286,0.03,us citizens kenneth bae; matthew todd miller released from no
fromelle fall identify year,negative,neutral,0.5571,0.4326,fromelles fallen identified 96 years on
aboriginal clinic demand answer,neutral,negative,0.5079,0.4263,aboriginal clinic demands answers
meeting hear opposition new jail,neutral,negative,0.4972,0.4958,meeting hears opposition to new jail
anf claim nursing assistant dishonest,negative,neutral,0.9378,0.0513,anf claims on nursing assistants dishonest
statue liberty close government shutdown,positive,neutral,0.5997,0.3988,statue of liberty closes due to us government shutdown
marr clean player say minister,negative,positive,0.9211,0.0016,marr not a clean player says minister
house fire spark safety warning,positive,negative,0.6427,0.3572,house fires spark safety warning
merry round stay action,positive,neutral,0.9461,0.0272,merry go round to stay out of action
convict paedophile sentence reduce act court,positive,neutral,0.757,0.2191,convicted paedophile has sentence reduced by act court
year png remember excitement,positive,neutral,0.9494,0.0285,40 years on png remembers the excitement at the
resident welcome tree poisoning,negative,positive,0.5968,0.4032,resident welcomes tree poisoning
animal welfare kit receive dairy australia,positive,neutral,0.8614,0.0622,animal welfare kit well received dairy australia
tell staff inmate suicidal say family,negative,neutral,0.7536,0.185,we told staff inmate was suicidal says family
reith gg enter fray,negative,neutral,0.961,0.0372,reith it is not for the gg to enter the fray
patel reluctant transfer patient inquiry tell,negative,neutral,0.4965,0.4609,patel reluctant to transfer patients inquiry told
malaysia airline mh370 garbage make debris hard track,negative,neutral,0.6031,0.3331,malaysia airlines mh370 garbage makes debris hard to track
decision delay tanker jetty replacement,negative,neutral,0.6551,0.3421,decision delayed on tanker jetty replacement
act back wind farm project ahead victoria,neutral,negative,0.8336,0.1235,act backed wind farm project to go ahead in victoria
wall street fall fed meet anxiety rise,negative,neutral,0.5666,0.4106,wall street falls as fed meeting anxiety rises
pacific islander coach focus discipline,positive,neutral,0.8238,0.0614,pacific islanders coach focused on discipline
delay lyell highway reopen,neutral,negative,0.712,0.2634,more delays to full lyell highway reopening
mcgrane secures greens country labor preference,positive,neutral,0.9217,0.0329,mcgrane secures greens country labor preferences
embarrassing gaffe romney,negative,neutral,0.9433,0.0404,another embarrassing gaffe for romney
ombudsman probe bypass approval process,positive,neutral,0.5913,0.3626,ombudsman probes bypass approval process
bridgestone accept blame ferraris slow start,positive,negative,0.6644,0.3305,bridgestone accept blame for ferraris slow start
firefighter head home fire contain,neutral,negative,0.8417,0.1521,us firefighters head home as fires contained
diabetes fast grow chronic,positive,neutral,0.721,0.168,diabetes is now the fastest growing chronic
vic lightning fire control,neutral,negative,0.6063,0.3906,vic lightning fires under control
central highlands council say amalgamation,negative,neutral,0.6171,0.1584,central highlands council says no to amalgamations
essien reveal agony world cup ko,negative,neutral,0.8767,0.0959,essien reveals agony behind world cup ko
hughes add renew hope fury,negative,positive,0.6058,0.3786,hughes adds to renewed hope for fury
margaret cunneen icac ask dpp consider charge,negative,neutral,0.6093,0.3148,margaret cunneen icac asks dpp consider charges
parent caboolture child critically injure tyre comfort,neutral,negative,0.922,0.008,parents of caboolture child critically injured by tyre comforted
tough water restriction unlikely council,positive,negative,0.7178,0.2425,tougher water restrictions unlikely for councils
profitable half year suncorp,positive,neutral,0.8892,0.0759,profitable half year for suncorp
nick kyrgios reaches estoril open semi final,positive,neutral,0.8478,0.0638,nick kyrgios reaches estoril open semi finals
odette tease central qld coastline,negative,neutral,0.8908,0.049,odette teases central qld coastline
play postpone melbourne park outside court,positive,negative,0.5085,0.4913,play postponed on melbourne park outside courts
australian economy dangerously overheat,negative,neutral,0.914,0.0238,australian economy dangerously overheated
usain bolt take emotional farewell lap london world champs,positive,neutral,0.4907,0.4749,usain bolt takes emotional farewell lap at london world champs
matt simon leave central coast mariner end league,negative,neutral,0.5829,0.2939,matt simon to leave central coast mariners at end of a league s
rudd label budget clever cunning,positive,neutral,0.8873,0.02,rudd labels budget clever cunning
gns science volcanologist gill jolly explain,positive,neutral,0.9197,0.0588,gns science volcanologist gill jolly explains
bird plane skywhale,negative,neutral,0.9298,0.0484,is it a bird is it a plane no its a skywhale
rees admit bureaucrat pay rise,positive,negative,0.7471,0.2527,rees admits bureaucrat pay rise
ariana pila remarkable recovery rare brain disease,positive,neutral,0.9345,0.0229,ariana pila remarkable recovery from rare brain disease
israeli court prevent auction tattoo kit,positive,neutral,0.8443,0.063,israeli court prevents auction of tattoo kit
indonesian presidential hopeful jokowi prabowo pitch ec,neutral,positive,0.6575,0.3421,indonesian presidential hopefuls jokowi and prabowo pitch ec
aust scientist excavate timor massacre graf,negative,neutral,0.6098,0.3238,aust scientists to excavate e timor massacre graves
hospital report flaw biased,negative,neutral,0.9847,0.0072,hospital report flawed biased
clive palmer worker advice arrogant townsville mayor,negative,neutral,0.7771,0.193,clive palmer worker advice arrogant townsville mayor
melbourne teenager stab buttock,negative,neutral,0.6404,0.3465,melbourne teenager stabbed in back buttocks
not examine plan allow croc hunting,positive,neutral,0.5381,0.153,nt examines plan to allow croc hunting
queer heart middle east not hard find,positive,negative,0.6211,0.031,queer heart of the middle east isnt hard to find
qld govt underestimate mining slump,negative,neutral,0.9026,0.0402,qld govt underestimated mining slump
thailand seek diver pick fall reef,negative,neutral,0.8342,0.0792,thailand seeks divers to pick up fallen reefs
businessman plead guilty torch house,negative,positive,0.4286,0.3309,businessman pleads guilty to torching own house
fiji union employer government reach deal,neutral,positive,0.406,0.3508,fiji unions; employers and government reach deal
bulls swamp redback,positive,neutral,0.9232,0.0345,bulls swamp redbacks to go top
lawyer gregory morcom fit practise law court rule,negative,positive,0.628,0.1297,lawyer gregory morcom not fit to practise law; court rules
overseas earthquake delay hunter geothermal,negative,neutral,0.6163,0.3547,overseas earthquakes delay hunter geothermal
bomb underline thai security need,negative,positive,0.7342,0.2635,bomb underlines thai security needs
sky say australia network tender cancellation premature,neutral,positive,0.5303,0.3572,sky says australia network tender cancellation 'premature'
wound gypsy joker bikie appear court,positive,neutral,0.8942,0.027,wounded gypsy joker bikie appears in court
currumbin mp jan stuckey quit lnp say feel deceive,negative,neutral,0.739,0.2442,currumbin mp jan stuckey quits lnp saying she feels deceived
bok hit panic button,positive,neutral,0.4908,0.1652,boks not hitting the panic button
quality staff lure job gift,neutral,positive,0.5471,0.4366,quality staff lured to jobs with gifts
stacey yean inqu sick hospital,positive,negative,0.9259,0.0008,stacey yean inquest not sick enough for hospital
australia ask leave pacific island forum,negative,neutral,0.7389,0.2258,australia may be asked to leave the pacific islands forum
bill amendment allow sentencing option,positive,negative,0.9394,0.0288,bill amendments allow for sentencing options
wallaby stick experimentation plan,neutral,negative,0.5213,0.4512,wallabies sticking to experimentation plan
federal election shorten find foot morrison panic,negative,neutral,0.6403,0.3189,federal election 2019 shorten finds feet morrison panics
sa police release vision laser take polair,positive,neutral,0.4986,0.4676,sa police released vision of the laser taken from polair
graham ashton say claim victoria safe,negative,positive,0.9531,0.0021,graham ashton says claims victoria is not safe
israeli court mull barrier ruling,negative,neutral,0.5149,0.4743,israeli court mulls barrier ruling
resident need convincing disposal scheme,positive,neutral,0.8989,0.0393,residents need convincing over disposal scheme
plan bring fraser ofarrell,negative,neutral,0.8738,0.0796,no plans to bring fraser back ofarrell
australia day hooligans notice,negative,neutral,0.8516,0.0823,australia day hooligans put on notice
martin scullion join abc election panel,positive,neutral,0.6389,0.3515,martin and scullion join abc election panel
karl lagerfeld legacy brand embody death door,neutral,negative,0.6306,0.3045,karl lagerfeld could legacy brands he embodied be on deaths door
retailer mislead storewide sale accc,neutral,negative,0.6541,0.3381,retailer misled about storewide sale accc
overseas market rise despite escalate ukraine tension,positive,negative,0.8759,0.0501,overseas markets rise despite escalating ukraine tensions
die giant indonesian traffic jam official,negative,neutral,0.6699,0.2914,12 die in giant indonesian traffic jam official
council urge openness water situation,positive,neutral,0.9126,0.0637,councils urge openness about water situation
ranger search distressed emu shoot arrow,negative,neutral,0.8995,0.0839,rangers search for distressed emu shot with arrow
storm affect resident urge use centrelink,negative,neutral,0.6326,0.3126,storm affected residents urged to use centrelink
young south koreans embrace forbidden craft,negative,neutral,0.4868,0.0648,young south koreans embrace the forbidden craft of
oil leak facility kwinana,neutral,negative,0.9433,0.0538,oil leaks from facility at kwinana
death remote mount augustus tourist site police,neutral,negative,0.7206,0.2792,three deaths at remote mount augustus tourist site police say
unemployment job figure abs june,negative,neutral,0.5148,0.485,unemployment jobs figures abs june
tram collides van melbourne carry student,negative,neutral,0.8748,0.1077,tram collides with van melbourne carrying students
sugar deal sweet north qld farmer,negative,positive,0.5733,0.1902,sugar deal not sweet enough for north qld farmers
emergency worker protest super change,positive,negative,0.6725,0.3275,emergency workers protest against super changes
phone cost drop accc,neutral,negative,0.6191,0.3598,phone costs dropped in 2008 accc
homesick hooper quit hawk,negative,neutral,0.8753,0.0818,homesick hooper quits hawks
helen west say idea service,negative,neutral,0.6896,0.23,helen west says she had no idea what services were
new legume research hub launch double production,positive,neutral,0.9175,0.0681,new legume research hub launched to double production
accuse say photo corby totally innocent,positive,negative,0.6281,0.3581,accused says photos with corby totally innocent
moment biden harris inauguration,positive,neutral,0.7955,0.1191,top moments from biden and harris inauguration
red cross extend blood collection service,positive,neutral,0.5496,0.3986,red cross extends blood collection service
rodrigo duterte call god stupid angering philippine catholic,negative,neutral,0.6778,0.0897,rodrigo duterte calls god stupid angering philippines catholics
contradiction hannah mouncey aflw decision,negative,neutral,0.6882,0.286,contradiction in the hannah mouncey aflw decision
new law allow private land owner aboriginal community,positive,neutral,0.6208,0.355,new law to allow private land owners in aboriginal communities
coroner mark johns tell abc suicide need,neutral,negative,0.4994,0.4959,coroner mark johns tells 891 abc suicides need to
